w_lgb,w_cb,holdout,oof,diff_A,diff_B,p_min,p_max,p_std,status
0.0,1.0,842.4689137677577,1955.8848281261198,6.118913767757704,-53.34517187388019,0.33978702429777746,0.6426481440075675,0.043716450008417625,FAIL ❌
0.05,0.95,843.3942743394596,1960.4128170676472,7.044274339459548,-48.81718293235281,0.33919927277161405,0.644069198914634,0.043677971835175154,FAIL ❌
0.1,0.9,844.0923293917102,1964.7314705696251,7.7423293917102,-44.4985294303749,0.3386115212454507,0.6454902538217006,0.04364594718616041,FAIL ❌
0.15000000000000002,0.85,844.5630789245872,1968.8407886318982,8.213078924587194,-40.38921136810177,0.33802376971928727,0.6469113087287669,0.04362039027526833,FAIL ❌
0.2,0.8,844.8065229380353,1972.7407712543443,8.456522938035278,-36.48922874565574,0.33743601819312385,0.6483323636358335,0.043601312475695236,FAIL ❌
0.25,0.75,844.822661432032,1976.4314184372079,8.472661432031941,-32.79858156279215,0.33684826666696044,0.6497534185428999,0.043588722294724144,FAIL ❌
0.30000000000000004,0.7,844.6114944066219,1979.9127301803665,8.261494406621864,-29.317269819633566,0.336260515140797,0.6511744734499664,0.043582625354799565,FAIL ❌
0.35000000000000003,0.6499999999999999,844.1730218617938,1983.1847064837982,7.823021861793791,-26.04529351620181,0.3356727636146336,0.6525955283570328,0.04358302438098951,FAIL ❌
0.4,0.6,843.5072437975144,1986.2473473475584,7.157243797514411,-22.98265265244163,0.3350850120884702,0.6540165832640994,0.04358991919489993,FAIL ❌
0.45,0.55,842.6141602138171,1989.1006527716581,6.264160213817036,-20.129347228341885,0.3344972605623069,0.6554376381711658,0.0436033067150733,FAIL ❌
0.5,0.5,841.4937711107129,1991.744622756042,5.143771110712919,-17.485377243958055,0.3339095090361434,0.6568586930782323,0.04362318096386918,FAIL ❌
0.55,0.44999999999999996,840.1460764881796,1994.1792573007322,3.7960764881795512,-15.050742699267857,0.33332175750998,0.6582797479852988,0.043649533080791066,FAIL ❌
0.6000000000000001,0.3999999999999999,838.5710763462506,1996.4045564057508,2.221076346250584,-12.825443594249236,0.33273400598381664,0.6597008028923652,0.04368235134219013,FAIL ❌
0.65,0.35,836.7687706848592,1998.4205200710537,0.4187706848591688,-10.809479928946303,0.3321462544576532,0.6611218577994318,0.04372162118724417,FAIL ❌
0.7000000000000001,0.29999999999999993,834.7391595040832,2000.2271482967294,-1.6108404959168183,-9.002851703270608,0.3315585029314898,0.6625429127064982,0.04376732525007768,FAIL ❌
0.75,0.25,832.4822428038226,2001.8244410826335,-3.867757196177422,-7.405558917366534,0.3309707514053264,0.6639639676135647,0.043819443397858995,FAIL ❌
0.8,0.19999999999999996,829.9980205841995,2003.2123984288773,-6.3519794158005425,-6.017601571122668,0.330382999879163,0.6653850225206313,0.043877952774680824,FAIL ❌
0.8500000000000001,0.1499999999999999,827.2864928451473,2004.3910203353278,-9.063507154852687,-4.838979664672252,0.3297952483529996,0.6668060774276976,0.043942827851003695,FAIL ❌
0.9,0.09999999999999998,824.3476595866329,2005.3603068022396,-12.002340413367165,-3.869693197760398,0.3292074968268362,0.668227132334764,0.044014040478416006,FAIL ❌
0.9500000000000001,0.04999999999999993,821.1815208086892,2006.120257829358,-15.16847919131078,-3.1097421706419937,0.3286197453006728,0.6696481872418306,0.04409155994944169,FAIL ❌
1.0,0.0,817.7880765113499,2006.6708734168603,-18.56192348865011,-2.5591265831396868,0.32803199377450937,0.6712593025519142,0.04417535306210523,FAIL ❌
