label,n_features,lgb_best_iter,cb_best_iter,lgb_solo,cb_solo,w_lgb,w_cb,score_A_holdout,score_B_oof,diff_A,diff_B,guardrail_status,elapsed_min
"WITHOUT (v14 기준선, 101개 피처)",101,171,360,809.2749052803439,840.8135856548538,4.009975385978787,0.4887540006917027,836.3545773383053,2009.2285717174695,0.004577338305239209,-0.001428282530469005,FAIL ❌,7.5155375321706135
"WITH (v34 초면맞대결 1개 추가, 102개 피처)",102,196,321,812.9321283096847,832.1092598851499,4.636504479118432,-0.17728864584889079,818.7787266351831,2019.6606501150184,-17.571273364816875,10.430650115018352,FAIL ❌,6.713085981210073
