alpha_p,alpha_b,lgb_solo,cb_solo,w_lgb,w_cb,intercept,p_min,p_max,p_std,holdout,oof,diff_A,diff_B,guardrail_status,guardrail_msg,elapsed_min
50.0,50.0,809.2749052803439,840.8135856548538,4.009975385978787,0.4887540006917027,-2.2604850671980063,0.3111169074848468,0.6857570746330539,0.049368959835733715,836.3545773383053,2009.2285717174695,0.004577338305239209,-0.001428282530469005,FAIL ❌,❌ [FAIL] 예측 최솟값 하한선 이탈 (min=0.3111 < 0.320). 과도한 하방 확신으로 Brier Score 페널티 폭증 위험! 제출 금지.,5.903774714469909
30.0,70.0,797.6064966037754,831.6972737436257,5.417435012980526,-1.018868866556967,-2.2073036262922043,0.31167570194931643,0.7079069445848983,0.05045853887776518,773.0369169323014,2026.4125558536962,-63.313083067698585,17.182555853696158,FAIL ❌,❌ [FAIL] CatBoost 가중치 붕괴 (-1.0189 < 0.15). 단일 모델 쏠림으로 인한 앙상블 완충 상실 위험! 제출 금지.,4.067167584101359
25.0,75.0,805.7206710501252,829.192293474279,4.30714343966087,0.20405539406811227,-2.2671348447789463,0.32097656136736646,0.6853003376020684,0.049216656144337866,828.8378732335011,2007.0372650336953,-7.512126766498909,-2.19273496630467,FAIL ❌,❌ [FAIL] LightGBM 가중치 과대 증폭 (4.3071 > 4.20). 확률 꼬리 왜곡 및 Brier Score 폭락 위험! 제출 금지.,5.53616026242574
35.0,80.0,812.5482274187856,832.0527642100894,5.068759453544197,-0.6164188805133338,-2.235798839078254,0.31310788410357576,0.7090572282117358,0.049964546133642825,810.7875662344277,2019.8894318018467,-25.562433765572337,10.659431801846722,FAIL ❌,❌ [FAIL] CatBoost 가중치 붕괴 (-0.6164 < 0.15). 단일 모델 쏠림으로 인한 앙상블 완충 상실 위험! 제출 금지.,4.830358417828878
40.0,60.0,816.11877384552,821.9910610832048,4.990100097659375,-0.5579313132142663,-2.225080541133139,0.30590054395369176,0.7088924622549969,0.05008174013484184,814.9757536894286,2022.5501728826312,-21.37424631057138,13.320172882631141,FAIL ❌,❌ [FAIL] CatBoost 가중치 붕괴 (-0.5579 < 0.15). 단일 모델 쏠림으로 인한 앙상블 완충 상실 위험! 제출 금지.,4.757346804936727
