label,n_features,lgb_best_iter,cb_best_iter,lgb_solo,cb_solo,score_A_holdout,score_B_oof,elapsed_min,diff_A,diff_B,verdict
"WITHOUT (v14 기준선, 101개 피처)",101,171,360,809.2749052803439,840.8135856548538,836.3545773383053,2009.2285717174695,6.20093336502711,-9.256645529032198,2.5569240363233803,"보류 ⚠️   OOF만 소폭 개선, 홀드아웃 미개선"
"WITH (v21 구종&실투 시즌분해 11개 추가, 112개 피처)",112,172,315,808.7619794683865,836.7891389046589,827.0979318092731,2011.785495753793,5.8032466173172,-9.256645529032198,2.5569240363233803,"보류 ⚠️   OOF만 소폭 개선, 홀드아웃 미개선"
