label,n_features,lgb_best_iter,cb_best_iter,lgb_solo,cb_solo,w_lgb,w_cb,score_A_holdout,score_B_oof,diff_A,diff_B,guardrail_status,elapsed_min
"WITHOUT (v14 기준선, 101개 피처)",101,171,360,809.2749052803439,840.8135856548538,4.009975385978787,0.4887540006917027,836.3545773383053,2009.2285717174695,0.004577338305239209,-0.001428282530469005,FAIL ❌,6.449143314361573
"WITH (v33 맞대결 상대전적 3개 추가, 104개 피처)",104,184,333,827.3351471936752,828.3044279135288,4.223211682594359,0.25370761331470437,847.9064832882299,2008.4745032506012,11.556483288229856,-0.7554967493988443,FAIL ❌,6.110148251056671
