label,n_features,lgb_best_iter,cb_best_iter,lgb_solo,cb_solo,score_A_holdout,score_B_oof,elapsed_min,diff_A,diff_B,verdict
"WITHOUT (v14 기준선, 101개 피처)",101,171,360,809.2749052803439,840.8135856548538,836.3545773383053,2009.2285717174695,7.803383382161458,-16.73593437331317,15.361231730237705,채택 후보 ✅  Dacon 재제출 권장
"WITH (v15 폼 매치업&상호작용 7개 추가, 108개 피처)",108,212,298,819.5327844695455,827.056946028848,819.6186429649921,2024.5898034477073,7.068430503209432,-16.73593437331317,15.361231730237705,채택 후보 ✅  Dacon 재제출 권장
