alpha,lgb_iter,cb_iter,lgb_solo,cb_solo,holdout,oof,elapsed_min
20.0,188,295,807.394374901882,827.9106189508667,808.6148051444142,2023.80977180302,5.125455164909363
35.0,180,251,812.72599828357,824.8502267269254,804.0155613061817,2018.0822857746582,4.537907497088114
50.0,171,360,809.2749052803439,840.8135856548538,836.3545773383053,2009.2285717174695,6.192666029930114
75.0,174,266,815.103975371756,817.6430024093406,818.6614301980644,2008.1616227789812,5.407226733366648
100.0,212,328,809.1719726671554,835.5527858621148,810.8781361742646,2026.155742598501,6.423859854539235
